código_do_plano_de_contas;código_do_período;início;fim;anterior;débito;crédito;atual;movimento;ukey;descrição_do_plano_de_contas;código_auxiliar;períodos_contábeis;tipo_de_período;tipo;origem
"1101020028";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAI";"SANTANDER AG: 3934 C/C: 13003188-5";"53";"20250228PHYYBI0QZJ3T";1;2;1
"1101020029";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAJ";"ITAU 0845-60690-4";"54";"20250228PHYYBI0QZJ3T";1;2;1
"1101020030";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAK";"SANTANDER AG: 3934 C/C: 13003187-8";"55";"20250228PHYYBI0QZJ3T";1;2;1
"1101020031";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAL";"BANCO BRADESCO - AG. 3381 / C.C. 5076-8";"56";"20250228PHYYBI0QZJ3T";1;2;1
"1101020032";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAM";"SANTANDER 603004 EURO";"57";"20250228PHYYBI0QZJ3T";1;2;1
"1101020033";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAN";"UNIBANCO AG. 0019 C/C 209505-7";"58";"20250228PHYYBI0QZJ3T";1;2;1
"1101020034";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAO";"CAIXA ECONOMICA FEDERAL AG 4044/19815";"59";"20250228PHYYBI0QZJ3T";1;2;1
"1101020035";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAP";"SANTANDER 603004 DOLAR";"60";"20250228PHYYBI0QZJ3T";1;2;1
"1101020036";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAQ";"BANCO BRADESCO - C.C. 6353-3";"61";"20250228PHYYBI0QZJ3T";1;2;1
"1101020037";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAR";"BRADESCO AG. 3381 - C/C 13315-9";"62";"20250228PHYYBI0QZJ3T";1;2;1
"1101020038";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAS";"BANCO RENDIMENTO C/C 1619260039";"63";"20250228PHYYBI0QZJ3T";1;2;1
"1101020039";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAT";"BANCO CITIBANK USD";"64";"20250228PHYYBI0QZJ3T";1;2;1
"1101020040";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAU";"BANCO ITAU 534-7";"65";"20250228PHYYBI0QZJ3T";1;2;1
"1101020041";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAV";"BANCO SANTANDER R$ C/C: 13003035-8 AG: 3934";"66";"20250228PHYYBI0QZJ3T";1;2;1
"1101020042";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAW";"BANCO SANTANDER AG. 4717 / C.C 13002976-5";"67";"20250228PHYYBI0QZJ3T";1;2;1
"1101020043";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAX";"BANCO RENDIMENTO R$ C/C: 2055670001 AG: 0019";"68";"20250228PHYYBI0QZJ3T";1;2;1
"1101020044";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAY";"BANCO SANTANDER AG. 4717 / C.C. 13002976-5";"69";"20250228PHYYBI0QZJ3T";1;2;1
"1101020045";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAZ";"BANCO REAL - AG. 0934 / C.C. 5005623";"70";"20250228PHYYBI0QZJ3T";1;2;1
"1101020046";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZB0";"B. BRADESCO C/C 5055-5";"71";"20250228PHYYBI0QZJ3T";1;2;1
"1101020047";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZB1";"BANCO BRADESCO - AG. 3232 / C.C. 7080";"72";"20250228PHYYBI0QZJ3T";1;2;1
"1101020048";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZB2";"BANCO DO BRASIL AG 3520-3";"73";"20250228PHYYBI0QZJ3T";1;2;1
"1101020049";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZB3";"BANCO ITAU";"74";"20250228PHYYBI0QZJ3T";1;2;1
"1101020050";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZB4";"BANCO SANTANDER AG 4717 C.C 1302811-1 SCP";"75";"20250228PHYYBI0QZJ3T";1;2;1
"1101020051";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZB5";"BANCO SANTANDER US$ C/C:";"76";"20250228PHYYBI0QZJ3T";1;2;1
"1101020052";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZB6";"ITAU 02080";"77";"20250228PHYYBI0QZJ3T";1;2;1
"1101020053";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZB7";"BANCO BRADESCO - AG. 3232 / C.C. 7237";"78";"20250228PHYYBI0QZJ3T";1;2;1
"1101020054";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZB8";"ITAU 61362-9";"79";"20250228PHYYBI0QZJ3T";1;2;1
"1101020055";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZB9";"BANCO BRADESCO - AG. 3232 / C.C. 9380-7";"80";"20250228PHYYBI0QZJ3T";1;2;1
"1101020056";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBA";"CITIBANK R$ C/C: 38602229 AG: 003";"81";"20250228PHYYBI0QZJ3T";1;2;1
"1101020057";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBB";"BANCO RENDIMENTO - C.C. 144266000-1";"82";"20250228PHYYBI0QZJ3T";1;2;1
"1101020058";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBC";"BANCO CITIBANK US$ C/C: 36284615";"83";"20250228PHYYBI0QZJ3T";1;2;1
